Unnamed: 0,번호,제목,저자,출판사,출판일
,62,Report on the 2019 International Joint Conferences on Artificial Intelligence Explainable Artificial Intelligence Workshop,"Miller, Tim; Weber, Rosina; Magazzeni, Dan",AAAI AMERICAN ASSOCIATION OF ARTIFICIAL,2020
,63,AI WEIWEI,"McGetrick, B.",GIANCARLO POLITI DISTRIBUTION,2010
,64,Distributed Artificial Intelligence from a Socio-Cognitive Standpoint: Looking at Reasons for Interaction,"Miceli, M.",SPRINGER VERLAG KG,1995
,65,A color reaction method for early preliminary discrimination of benzenic ansamycins,"Ai-ming, L.; Lin-zhuan, W.; Yi-guang, W.",CHINESE JOURNAL OF ANTIBIOTIOS,2008
,66,Thesis: New methodology for disability assessment: analysis of WHO-Disability Assessment Schedule II with clustering based on rules,"Annicchiarico, R.",IOS-INTERNATIONAL ORGANIZATIONS SERVICES BV,2003
,67,Developing a Dichotomy of Information Privacy Concerns,"Li, Y.",Red Hook; Curran,2011
,68,"John W. Dardess, A Ming Society: T'ai-ho County, Kiangsi, in the Fourteenth to Seventeenth Century","Chu, H.-L.",UNIVERSITY OF HAWAII PRESS,1998
,69,Dietary protein requirement of juvenile turbot (Scophthalmus maximus Linnaeus),"Liu, X.; Mai, K.; Liufu, Z.; Ai, Q.",NOT KNOWN,2015
,70,Wendell Wallach and Colin Allen: Moral machines: teaching robots right from wrong,"Ennals, R.",SPRINGER VERLAG KG,2009
,71,"Association between socioeconomic status (SES), mental health and need for long-term care (NLTC)-A Longitudinal Study among the Japanese Elderly","Kong, F. L.; Hoshi, T.; Ai, B.; Shi, Z. M.; Nakayama, N.; Wang, S.; Yang, S. W.","Elsevier Science B.V., Amsterdam.",2014
,72,Integrating Hypothesis-Based Exploratory Srategy and Reinforcement Learning,"Namkiu, C;Anzai, Y.",World Scientific,1995
,73,Research on integration method of AI teaching resources based on learning behaviour data analysis,"Yang, Xiaohua",Interscience Enterprises Ltd,2020
,74,"In-Edge AI: Intelligentizing Mobile Edge Computing, Caching and Communication by Federated Learning","Wang, Xiaofei; Han, Yiwen; Wang, Chenyang; Zhao, Qiyang; Chen, Xu; Chen, Min",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2019
,75,Development of a discovery learning tutoring system construction environment,"Smith, S.; Kemp, R. H.",Association for the Advancement of Computing in Education,1995
,76,A Case of Keratosis Follicularis Squamosa Occurring on the Underwear Friction Area,"Kim,  Tae Han; Sung,  Nam Hee; Kim,  Do Hun; Shin,  Hyoseung; Lee,  Ai Young; Lee,  Seung Ho",THE KOREAN DERMATOLOGICAL ASSOCIATION,2016
,77,Editorial: Will AI Improve Tumor Delineation Accuracy for Radiation Therapy?,"Chang, Zheng",RADIOLOGICAL SOCIETY OF NORTH AMERICA,2019
,78,"Topic-Comment Structure, Focus Movement, and Gapping Formation","Ai, R.R.",MIT Press,2014
,79,"An Artificial Immune System for Misbehavior Detection in Mobile Ad-Hoc Networks with Virtual Thymus, Clustering, Danger Signal, and Memory Detectors","Sarafijanovic, S.; Le Boudec, J.-Y.",Berlin; London; Springer,2004
,80,Mixed mode stable tearing of thin sheet AI 6061-T6 specimens: experimental measurements and finite element simulations using a modified Mohr-Coulomb fracture criterion,"Li, Y.; Wierzbicki, T.; Sutton, M. A.; Yan, J.; Deng, X.",Springer Science + Business Media,2011
,81,Smart Cell Phone Camera Networks AI Helps Researchers Get a Grip on Robotic Hands,unknown,COMPUTER SOCIETY,2008
,82,Electronic Commerce: Scenarios for Superhighways,"Benjamin, R.; Wigand, R.; Kambil, A.; Senn, J.",AIS,1995
,83,EGFR-mediated interleukin enhancer-binding factor 3 contributes to formation and survival of cancer stem-like tumorspheres as a therapeutic target against EGFR-positive non-small cell lung cancer,"Cheng, Chun-Chia; Chou, Kuei-Fang; Wu, Cheng-Wen; Su, Nai-Wen; Peng, Cheng-Liang; Su, Ying-Wen; Chang, Jungshan; Ho, Ai-Sheng; Lin, Huan-Chau; Chen, Caleb Gon-Shen; Yang, Bi-Ling; Chang, Yu-Cheng; Chiang, Ya-Wen; Lim, Ken-Hong; Chang, Yi-Fang","Elsevier Science B.V., Amsterdam.",2018
,84,"Ulf Hashagen, Reinhard Keil-Slawik and Arthur L. Norberg (eds): History of computing: software issues. Springer, 2002, 283pp, ISBN 3-540-42664-7","Ennals, R.",SPRINGER VERLAG KG,2004
,85,AI and Cognitive Science,"Vamos, T.",John von Neumann,1993
,86,Application of Microalgal Fucoxanthin for the Reduction of Colon Cancer Risk: Inhibitory Activity of Fucoxanthin Against beta -Glucuronidase and DLD-1 Cancer Cells,"Kawee-ai, A.; Kim, S.M.",NATURAL PRODUCT COMMUNICATIONS,2014
,87,Characterization of a Novel Resistant-Starch and Its Effects on Postprandial Plasma-Glucose and Insulin Responses,"Hasjim, J.; Lee, S.-O.; Hendrich, S.; Setiawan, S.; Ai, Y.; Jane, J.-l.",AMERICAN ASSOCIATION OF CEREAL CHEMISTS,2010
,88,AI in Medical Imaging Informatics: Current Challenges and Future Directions,"Panayides, Andreas S.; Amini, Amir; Filipovic, Nenad D.; Sharma, Ashish; Tsaftaris, Sotirios A.; Young, Alistair; Foran, David; Do, Nhan; Golemati, Spyretta; Kurc, Tahsin; Huang, Kun; Nikita, Konstantina S.; Veasey, Ben P.; Zervakis, Michalis; Saltz, Joel",IEEE,2020
,89,Distributed Information Retrieval and Integration through a Centralized Agent-base System,"Kumara, S.; Berry, N.; Satapathy, G.; Camps, O.",AAAI Press,1995
,90,Mobile push personalization and user experience,"Choeh, J.Y.; Lee, H.J.",IOS-INTERNATIONAL ORGANIZATIONS SERVICES BV,2008
,91,COVID-19 : physiopathologie d'une maladie à plusieurs visages,"Bonny, V.; Maillard, A.; Mousseaux, C.; Plaçais, L.; Richier, Q.","Elsevier Science B.V., Amsterdam",2020
,92,What Is the Buddha Looking At? The Importance of Intersubjectivity in the T'ien-t'ai Tradition as Understood by Chih-li,"Ziporyn, B.",University of Hawai'i Press,1999
,93,Developing an AI Curriculum for Computer Science Majors,"Wu, X.",KOGAN PAGE,1995
,94,Eloquence of eyes and mouth of virtual agents: cultural study of facial expression perception,"Koda, T.; Ruttkay, Z.",SPRINGER VERLAG KG,2017
,95,Genetic diversity and population structure of ramie (Boehmeria nivea L.),"Ni, Ji-Le; Zhu, Ai-Guo; Wang, Xiao-Fei; Xu, Ying; Sun, Zhi-Min; Chen, Jian-Hua; Luan, Ming-Bao","Elsevier Science B.V., Amsterdam.",2018
,96,A Multi-agent Architecture Integrating Learning and Fuzzy Techniques for Landmark-Based Robot Navigation,"Busquets, D.;de Mantaras, R. L.;Sierra, C.;Dietterich, T. G.",Springer,2002
,97,CAL and AI - a time for rapprochement?,"Hartley, J. R.",BLACKWELL,1998
,98,AI CAN IT PASS THE SMELL TEST?,unknown,TECHNOLOGY REVIEW,2019
,99,Machine Learning Models for Classification of Lung Cancer and Selection of Genomic Markers Using Array Gene Expression Data,"Aliferis, C. F.;Tsamardinos, I.;Massion, P. P.;Statnikov, A.;Fananapazir, N.;Hardin, D.",AAAI,2003
,100,A Multi-Level Organization of Semantic Primitives for Learning Models of Environment Autonomously from Continuous Data for Design (Extended Abstract),"Prabhakar, S.;Smith, G.",AAAI Press,1999
,1,AI-based chatterbots and spoken English teaching: a critical analysis,"Sha, G.",Taylor & Francis,2009
,2,"Experiential quality, experiential psychological states and experiential outcomes in an unmanned convenience store","Wu, Hung-Che; Ai, Chi-Han; Cheng, Ching-Chan","Elsevier Science B.V., Amsterdam.",2019
,3,Special issue on social impact of AI: killer robots or friendly fridges,"Michaelson, G.; Aylett, R.",SPRINGER VERLAG KG,2011
,4,Cognitive Orthoses: Toward Human-Centered AI,"Ford,  Kenneth M.; Hayes,  Patrick J.; Glymour,  Clark; Allen,  James",AAAI AMERICAN ASSOCIATION OF ARTIFICIAL,2015
,5,DNA Methylome Signature in Synoviocytes From Patients With Early Rheumatoid Arthritis Compared to Synoviocytes From Patients With Longstanding Rheumatoid Arthritis,"Ai, R.; Whitaker, J. W.; Boyle, D. L.; Tak, P. P.; Gerlag, D. M.; Wang, W.; Firestein, G. S.",John Wiley and Son,2015
,6,Predicting COVID-19 in China Using Hybrid AI Model,"Zheng, Nanning; Du, Shaoyi; Wang, Jianji; Zhang, He; Cui, Wenting; Kang, Zijian; Yang, Tao; Lou, Bin; Chi, Yuting; Long, Hong; Ma, Mei; Yuan, Qi; Zhang, Shupei; Zhang, Dong; Ye, Feng; Xin, Jingmin",IEEE,2020
,7,Making medical AI trustworthy: Researchers are trying to crack open the black box of AI so it can be deployed in health care - [News],"Strickland, E.",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2018
,8,AI and Opinion Mining,"Chen, H.; Zimbra, D.",COMPUTER SOCIETY,2010
,9,Apocalyptic AI: Religion and the Promise of Artificial Intelligence,"Geraci, R. M.",Oxford University Press,2008
,10,Building Bridges between AI and Cognitive Psychology,"Reed, Stephen K.",AAAI AMERICAN ASSOCIATION OF ARTIFICIAL,2019
,11,Effects of biomass pyrolysis derived wood vinegar (WVG) on extracellular polymeric substances and performances of activated sludge,"Zhang, Fang; Yang, Haiping; Guo, Dabin; Zhang, Shihong; Chen, Hanping; Shao, Jing'ai","Elsevier Science B.V., Amsterdam",2019
,12,Coordination of Software Development Workgroups,"Andres, H. P.",AIS,1995
,13,Sonification: what where how why artistic practice relating sonification to environments,"Sinclair, P.",SPRINGER VERLAG KG,2012
,14,Recent Policy Trends of AI and Robot Law in Japan,"Shimpo,  Fumio",JAPANESE SOC ARTIFICIAL INTELL,2017
,15,"Ai Weiwei, Oscar Wilde, and the Art of Posing","Wan, M.",SAGE Publications,2013
,16,Deuterium Permeation Properties of Plasma-sprayed Eutectic AI-Si Coated on Ceramics SiC/SiC Composites,"Racault, C.; Serra, E.; Fenici, P.; Brossa, F.",Gruppo Editoriale Faenza Editrice,1995
,17,Lambing outcome in native fat-tailed sheep flocks following AI: Effect of timing of insemination,"Rekik, M.; Sassi, M. B.",Wageningen Pers,1996
,18,AI-powered drug discovery captures pharma interest,"Smalley, E.",Nature Publishing Group,2017
,19,AI ETHICS Addressing the rise of the robot in the workplace and the future of AI,unknown,INSTITUE OF CREDIT MANAGEMENT,2018
,20,Style-Me — An Experimental AI Fashion Stylist,"Wang,  Haosha; De Haan,  Joshua; Rasheed,  Khaled",Springer,2016
,21,Designing educational technologies in the age of AI: A learning sciences‐driven approach,"Luckin, Rosemary; Cukurova, Mutlu",John Wiley & Sons Ltd,2019
,22,"Mentoring, Metacognition and Music: An Analysis of the Interactions used to Support Creative Reflection","Cook, J.",IOS Press,1997
,23,Lie-Detector AI.,Emiliano Rodríguez Mega,Nature Publishing Group,2019
,24,AI as Influencer [Letters to the Editor],"Isaak, Jim","THE IEEE, INC.",2019
,25,System Dynamics Model of Knowledge Acquisition via E-Learning of SNS Oriented Knowledge Community in Enterprise,"Wu, B.",Red Hook; Curran,2011
,26,AMPK dependent protective effects of metformin on tumor necrosis factor-induced apoptotic liver injury,"Cai, L.; Hu, K.; Lin, L.; Ai, Q.; Ge, P.; Liu, Y.; Dai, J.; Ye, B.; Zhang, L.","Elsevier Science B.V., Amsterdam",2015
,27,Development of an AI-based Rapid Manufacturing Advice System,"Munguia, J.; Lloveras, J.; Llorens, S.; Laoui, T.",Taylor & Francis,2010
,28,Onomatopoeia — Towards AI Merging Knowledge with Emotion —,"Sakamoto,  Maki",JAPANESE SOC ARTIFICIAL INTELL,2016
,29,The forthcoming Artificial Intelligence (AI) revolution: Its impact on society and firms,"Makridakis, Spyros","Elsevier Science B.V., Amsterdam.",2017
,30,On the irrationality of mind-uploading: a rely to Neil Levy,"Agar, N.",SPRINGER VERLAG KG,2012
,31,Clinical study of treatment for intractable pain of compression fracture of osteoporosis with acupuncture–moxibustion,"Ai, S.","Elsevier Science B.V., Amsterdam.",2008
,32,DOLL Living Lab : 欧州最大のインテリジェント照明システムの屋外ラボ (特集 欧州AI・IoT最新動向視察),茂手木 直也 ; 湯澤 秀樹,建築設備綜合協會,2020
,33,Introduction to the special issue on Artificial Intelligence for Justice (AI4J),"Bex, F.; Prakken, H.; Engers, T.; Verheij, B.",Springer Science + Business Media,2017
,34,Combining Data Mining and Machine Learning for Effective Fraud Detection,"Fawcett, T.; Provost, F.",AAAI Press,1997
,35,"AI in Creativity, Arts and Science",unknown,AISB QUARTERLY,2002
,36,Self-Driving Cars-An AI-Robotics Challenge,"Thrun, S.","Menlo Park, Calif; AAAI Press",2007
,37,Enterprise AI Canvas Integrating Artificial Intelligence into Business,"Kerzel, Ulrich",Taylor & Francis,2021
,38,Ai Weiwei. Smashing China's traditions in art and architecture,"Aloi, D.",unknown,2007
,39,Characterization of the key aroma compounds in Yunnan goat milk cake using a sensory‐directed flavor analysis,"Tian, Huaixiang; Sun, Xuefeng; Yu, Haiyan; Ai, Lianzhong; Chen, Chen",John Wiley & Sons Ltd,2020
,40,Collaborative Intelligence: Humans and AI Are Joining Forces,"Wilson, H. James; Daugherty, Paul R.",HARVARD BUSINESS REVIEW,2018
,41,Factors Influencing Intention to Gamble Online,"Lee, C.B.P.; Xia, L.H.","Atlanta, Ga.; Association for Information Systems",2008
,42,Sickle Cell Counselor: Using a Goal-based Scenario to Motivate Exploration of Knowledge in a Museum Context,"Bell, B. L.;Bareiss, R.",Univ,1993
,43,À la recherche d'un titre littéraire idéalement traduit: le cas du chinois vers le français,"Poizat-Xie,  Honghua; Zhang,  Yongzhao",LES PRESSES DE L'UNIVERSITE DE MONTREAL,2017
,44,Pyruvate Protects against Cellular Senescence through the Control of Mitochondrial and Lysosomal Function in Dermal Fibroblasts,"Kim, Jeong Yeon; Lee, Sung Hoon; Bae, Il-Hong; Shin, Dong Wook; Min, Daejin; Ham, Mira; Kim, Kyu-Han; Lee, Tae Ryong; Kim, Hyoung-June; Son, Eui Dong; Lee, Ai-Yong; Song, Yeong Wook; Kil, In Sup",Springer Nature,2018
,45,AI and Security Informatics,"Chen, H.",COMPUTER SOCIETY,2010
,46,The Application of Multi-media Technic in Classroom-teaching of Basic Nursing,"Ai-ping, L.",THE CHINESE NURSING ASSOCIATION,2000
,47,AI Grand Challenges for Education,"Woolf, B.P.; Lane, H.C.; Chaudhri, V.K.; Kolodner, J.L.",AAAI AMERICAN ASSOCIATION OF ARTIFICIAL,2013
,48,Jun Wang's iCarbonX heads consortium using AI in health and wellness,"Cyranoski, D.",Nature Publishing Group,2017
,49,AI: Archival Intelligence and User Expertise,"Yakel, E.; Torres, D. A.",SOCIETY OF AMERICAN ARCHIVISTS,2003
,50,What's Humanity for Artificial Intelligence What Is Socially Permissible ``Humanity'' for AI ?,"Kurihara,  Satoshi",JAPANESE SOC ARTIFICIAL INTELL,2016
,51,Immune System Approaches to Intrusion Detection - A Review,"Aickelin, U.; Greensmith, J.; Twycross, J.",Berlin; London; Springer,2004
,52,Education Program for AI Human Resource Development : Discussion at Strategic Council for AI Technology,"Yagi, Yasushi",Japanese Society for Artificial Intelligence,2018
,53,Investigating the Adoption of E-government Services in Qatar Using the UTAUT Model,"Al-Shafi, S.",New York; Curran,2009
,54,Web wrapper induction: a brief survey,"Flesca, S.; Manco, G.; Masciari, E.; Rende, E.; Tagarelli, A.",IOS-INTERNATIONAL ORGANIZATIONS SERVICES BV,2004
,55,Student presentations as a means of teaching and learning English for Specific Purposes: an action research study,"Ai, Bin; Kostogriz, Alexander; Wen, Daorong; Wang, Lifei",Taylor & Francis,2020
,56,Some Issues on Learning Maths Through Intelligent Tutoring Systems,Nunes; Andreuci; Mendez,Moray House Institute of Education,1993
,57,A Review of Real-Time Strategy Game AI,"Robertson, G.; Watson, I.",AAAI AMERICAN ASSOCIATION OF ARTIFICIAL,2014
,58,Searle's Abstract Argument Against Strong AI,"Melnyk, A",D. Reidel Pub. Co. [etc.],1996
,59,"Artificial Intelligence, Autonomy, and Human-Machine Teams: Interdependence, Context, and Explainable AI","Lawless, W. F.; Mittu, Ranjeev; Sofge, Don; Hiatt, Laura",AAAI AMERICAN ASSOCIATION OF ARTIFICIAL,2019
,60,Call for Papers: Special Issue on AI Ethics: The Privacy Challenge,unknown,IEEE COMPUTER SOCIETY,2017
,61,"A Prospective Pilot Study Investigating the Nature, the onset and the Incidence of Joint Pain in Menopausal, Breast Cancer Patients Receiving Aromatase Inhibitor (AI) Therapy","Robidoux, A.; Rich, E.; Bureau, N.J.; Mader, S.; Tremblay, N.; Turgeon, J.",American Association for Cancer Research,2009
,62,Simulation of Musical Sounds Using Partial Differential Equation Models,"Yaguchi,  Takaharu; Ishikawa,  Ai",JAPAN TECHNICAL INFORMATION SERVICE,2016
,63,Robotics: Science and Systems (RSS),"Trinkle, J.; Matsuoka, Y.",AAAI AMERICAN ASSOCIATION OF ARTIFICIAL,2010
,64,Sliding Mechanism for Actin Myosin System,"Ai, B.; Wang, X.; Liu, G.; Liu, L.; Nakano, M.; Matsuura, H.",INTERNATIONAL INFORMATION INSTITUTE,2003
,65,Frame Structure of Intelligent Tutoring System Based on the Activity Approach,"Atanov, G. A.; Kandrashin, G. V.",IOS Press,1997
,66,802-008: NEUROBRIDGE: An AI Development Environment for Neurology,"Sponsler, J.L.",Anaheim; Acta Press,2013
,67,Research Priorities for Robust and Beneficial Artificial Intelligence,"Russell,  Stuart; Dewey,  Daniel; Tegmark,  Max",AAAI AMERICAN ASSOCIATION OF ARTIFICIAL,2015
,68,Making New “New AI” Friends: Designing a Social Robot for Diabetic Children from an Embodied AI Perspective,"Cañamero, L.; Lewis, M.",Springer,2016
,69,"Adding Learning to Knowledge-Based Systems: Taking the ""Artificial"" Out of AI","Schmoldt, D. L.",AI APPLICATIONS,1997
,70,"The characteristics of a novel heterotrophic nitrification-aerobic denitrification bacterium, Bacillus methylotrophicus strain L7","Zhang, Q. L.; Liu, Y.; Ai, G. M.; Miao, L. L.; Zheng, H. Y.; Liu, Z. P.","Elsevier Science B.V., Amsterdam.",2012
,71,Relationship between the sensor temperature and moxibustion distance of mild moxibustion,"DAI, Guo-bin; LIU, Qiong; SUN, Tian-ai; LIU, Mai-lan; LIANG, Hao; DING, Jia-feng; XU, Xue-mei; LIU, Mi; WU, Huan-gan; CHANG, Xiao-rong",Elsevier,2017
,72,Doctor AI,"Pullen, Lara C.",Wiley-Blackwell,2019
,73,Game AI Technologies for AAA Game Titles — A Case Study of AI System in FINAL FANTASY XV —,"Miyake,  Youichiro; Imamura,  Noriyuki; Gudmundsson,  Ingimar; Komatsu,  Tomoki; Shimokawa,  Kazuya; Joudan,  Tatsuhiro; Shirakami,  Yoji; Takahashi,  Kosuke; Namiki,  Kousuke; Gravot,  Fabien",JAPANESE SOC ARTIFICIAL INTELL,2017
,74,Robots with AI: A Retrospective on the AAAI Robot Competitions and Exhibitions,"Bonasso, P.; Dean, T.",AAAI Press,1996
,75,"Art, Artificial Intelligence and Wealth: Dialogue with Adam Smith","Ennals, R.",SPRINGER VERLAG KG,1997
,76,P151. Significance of Intraoperative Thoracic Kyphosis Increase to Prevent the Proximal Junctional Kyphosis in AIS Following Posterior Segmental Spinal Instrumentation and Fusion,"Kim, Y.; Lenke, L.; Bridwell, K.; Boachie-Adjei, O.; Gupta, M.; Marawar, S.","Elsevier Science B.V., Amsterdam.",2008
,77,Teaching AI programming through explicit Prolog programming techniques,"Hietala, P.",CNR,1991
,78,A history of AI and Law in 50 papers: 25 years of the international conference on AI and Law,"Bench-Capon, T.; Araszkiewicz, M.; Ashley, K.; Atkinson, K.; Bex, F.; Borges, F.; Bourcier, D.; Bourgine, P.; Conrad, J. G.; Francesconi, E.",Springer Science + Business Media,2012
,79,Ai: Imaginative Empathy,"WINGATE, STEVEN","Poets & Writers, Incorporated",1999
,80,Sensors in Sports: Analyzing Human Movement with AI,"Ashley,  Kevin; Ryan,  Patty; Vigdorovich,  Olga",CMP MEDIA LLC,2018
,81,AI won't replace your doctor,"Parikh, Rahul",TECHNOLOGY REVIEW,2018
,82,Kant and the simulation hypothesis,"Kaur, G. D.",SPRINGER VERLAG KG,2015
,83,WatsonPaths: Scenario-Based Question Answering and Inference over Unstructured Information,"Lally,  Adam; Bagchi,  Sugato; Barborak,  Michael A.; Buchanan,  David W.; Chu-Carroll,  Jennifer; Ferrucci,  David A.; Glass,  Michael R.; Kalyanpur,  Aditya; Mueller,  Erik T.; Murdock,  J. William",AAAI AMERICAN ASSOCIATION OF ARTIFICIAL,2017
,84,Medical Application of Big Data and AI,"Mori, Kenasaku",SAIKIN IGAKU - SHA,2019
,85,IoT and AI for Smart Government: A Research Agenda,"Kankanhalli, Atreyi; Charalabidis, Yannis; Mellouli, Sehl","Elsevier Science B.V., Amsterdam.",2019
,86,Current AI Research in Australia and New Zealand,"Weckert, J.",AI APPLICATIONS,1997
,87,Multi Class Adult Image Classification Using Neural Networks,"Kim, W.; Lee, H.-K.; Park, J.; Yoon, K.",Berlin; London; Springer,2005
,88,Genetic Studies on Watermelon Mutant with Dwarf Vine and Small Fruit,"Li,  Guo-shen; Xu,  Ai-jiao; Dong,  Wei; Li,  Yu-ge",CHINESE SOCIETY FOR HORTICULTURAL SCIENCE,2016
,89,Towards human-like and transhuman perception in AI 2.0: a review,"Tian, Y. h.; Chen, X. l.; Xiong, H. k.; Li, H. l.; Dai, L. r.; Chen, J.; Xing, J. l.; Chen, J.; Wu, X. h.; Hu, W. m.",Springer Science + Business Media,2017
,90,Effect of reaction temperature and organic modifier on the size of medical nano-sized hydroxyapatite,"Zhan-ao, W.; Chun-feng, W.; Ai-li, W.",UNKNOWN,2008
,91,A Novel Approach to Function Approximation: Adaptive Multimodule Regression Networks,"Kim, W.; Hong, C.; Jung, C.",Berlin; London; Springer,2004
,92,"Building AI Applications: Yesterday, Today, and Tomorrow","Smith,  Reid G.; Eckroth,  Joshua",AAAI AMERICAN ASSOCIATION OF ARTIFICIAL,2017
,93,Teaching Integrated AI through Interdisciplinary Project-Driven Courses,"Eaton,  Eric",AAAI AMERICAN ASSOCIATION OF ARTIFICIAL,2017
,94,AI-IDS: Application of Deep Learning to Real-Time Web Intrusion Detection,"Kim, Aechan; Park, Mohyun; Lee, Dong Hoon",IEEE,2020
,95,A Review of AI-Supported Tutoring Approaches for Learning Programming,"Le, N.-T.; Strickroth, S.; Gross, S.; Pinkwart, N.",Springer Science,2013
,96,"Issues for psychology, AI, and education: a review of Newell's Unified Theories of Cognition","Schank, R.C. ; Jona, M.Y.",North-Holland Pub. Co. [etc.],1993
,97,Research on numerical simulation of ship encountering with freak waves based on CFD and its validation,"Cai, Feng; Zhang, Ben-hui; Wu, Ming; Yang, Bo; Wang, Xiao; Shi, Ai-guo",EDITORIAL BOARD OF JOURNAL OF SHIP MECHANICS,2018
,98,EFL Teachers' Pedagogical Beliefs and Practices With Regard to Using Technology,"Ding, Ai-Chu Elisha; Ottenbreit-Leftwich, Anne; Lu, Ya-Huei; Glazewski, Krista",ISTE,2019
,99,Replantation of Above-Knee Amputation: A Surviving but Dysfunctional Case Needing Secondary Amputation,"Gao, Y.-S.; Ai, Z.-S.; Zhang, C.-Q.; Jin, D.-X.; Chen, S.-B.; Zhu, Y.; Zeng, B.-F.",GEORG THIEME VERLAG,2010
,100,On the quest for robust technical trading strategies using multi-objective optimization,"Berutich, J.M.; Luna, F.; Lopez, F.",IOS-INTERNATIONAL ORGANIZATIONS SERVICES BV,2014
,1,The Application of AI to Automatically Generated Animation,"Szarowicz, A.;Amiguet-Vercher, J.;Forte, P.;Briggs, J.;Gelepithis, P.;Remagnino, P.",Springer,2001
,2,What is AI? Applications of artificial intelligence to dermatology,"Du‐Harpur, X.; Watt, F.M.; Luscombe, N.M.; Lynch, M.D.",John Wiley & Sons Ltd,2020
,3,Adjusting the Autonomy of Collections of Agents in Multiagent Systems,"Cheng, M. Y. K.; Micacchi, C.; Cohen, R.",Berlin; London; Springer,2005
,4,Artificial Intelligence to Win the Nobel Prize and Beyond,"Kitano,  Hiroaki",AAAI AMERICAN ASSOCIATION OF ARTIFICIAL,2016
,5,Engineering Bias in AI,unknown,INSTITUTE OF ELECTRICAL AND ELECTRONICS ENGINEERS,2019
,6,Spatial Heterogeneity of Plant Community in Zigui and Wushan Typical Hydro-fluctuation Belt of Three Gorges Reservoir Areas,"Zhu,  Ni-ni; Qin,  Ai-li; Guo,  Quan-shui",CHINESE ACADEMY OF FORESTRY,2015
,7,On Interviewing Ai Weiwei,"Cohen,  Ethan",NEW SCHOOL FOR SOCIAL RESEARCH,2016
,8,Critical Thinking Disposition of Nurse Practitioners in Taiwan,"Hsu,  Hsiu-Ying; Chang,  Shu-Chen; Chang,  Ai-Ling; Chen,  Shiah-Lian",SLACK INCORPORATED,2017
,9,Game-based education for disaster prevention,"Tsai, M. H.; Wen, M. C.; Chang, Y. L.; Kang, S. C.",SPRINGER VERLAG KG,2015
,10,Attitudes Toward Computers: The Impact on Performance,"Speier, C.; Morris, M. G.; Briggs, C. M.",AIS,1995
,11,My Teacher Is a Machine: Understanding Students' Perceptions of AI Teaching Assistants in Online Education,"Kim, Jihyun; Merrill, Kelly; Xu, Kun; Sellnow, Deanna D.",Taylor & Francis,2020
,12,Assistive technologies for the disabled and for the new generation of senior citizens: the e-Tools architecture,"Cortes, U.; Annicchiarico, R.; Vazquez-Salceda, J.; Urdiales, C.; Canamero, L.; Lopez, M.; Sanchez-Marre, M.; Caltagirone, C.",IOS-INTERNATIONAL ORGANIZATIONS SERVICES BV,2003
,13,The facilitation of groups and networks: capabilities to shape creative cooperation,"Rasmussen, L. B.",SPRINGER VERLAG KG,2003
,14,EFL Listeners’ Strategy Development and Listening Problems : A Process-Based Study,Ai-hua Chen,The Aisan Association of teachers of English as a Foreign Language,2013
,15,Searle's Abstract Argument Against Strong AI,"Melnyk, A.",KLUWER ACADEMIC PUBLISHERS,1996
,16,"SMART evaluation: Cognitive diagnosis, mastery learning and remediation","Shute, V. J.",Association for the Advancement of Computing in Education,1995
,17,Clinical benchmarking for the validation of AI medical diagnostic classifiers,"Holt, G.","Elsevier Science B.V., Amsterdam.",2005
,18,AI's Future: Innovating in Business and Society,"Benjamins, V. R.",COMPUTER SOCIETY,2006
,19,Generative Adversarial Networks in AI-Enabled Safety-Critical Systems: Friend or Foe?,"Fournaris, Apostolos P.; Lalos, Aris S.; Serpanos, Dimitrios",IEEE INSTITUTE OF ELECTRICAL AND ELECTRONICS,2019
,20,Michael Marmot (2004) Status Syndrome: How Your Social Standing Directly Affects Your Health and Life Expectancy,"Ennals, R.",SPRINGER VERLAG KG,2007
,21,in Conversation with Ai Weiwei / Concept and Fake,"Herzog, J.",unknown,2007
,22,Control Strategies and Artificial Intelligence in Rehabilitation Robotics,"Novak,  Domen; Riener,  Robert",AAAI AMERICAN ASSOCIATION OF ARTIFICIAL,2015
,23,Sustained maternal antibody and cellular immune responses in pregnant women infected with Zika virus and mother to infant transfer of Zika‐specific antibodies,"Collier, Ai‐ris Y.; Borducchi, Erica N.; Chandrashekar, Abishek; Moseley, Edward; Peter, Lauren; Teodoro, Nicholas S.; Nkolola, Joseph; Abbink, Peter; Barouch, Dan H.",Wiley-Blackwell,2020
,24,Can AI MAKE REAL MATCHES between brands and influencers?,unknown,Crain Communications,2017
,25,Utilizing Big Data Analysis and AI Technology for Business and Human Resource Development,"Shimizu, Takahiro",UNKNOWN,2019
,26,AI Techniques for COVID-19,"Hussain, Adedoyin Ahmed; Bouachir, Ouns; Al-Turjman, Fadi; Aloqaily, Moayad",IEEE,2020
,27,"Ai Weiwei: Wonderful dissident, terrible artist","Perl, J.",NEW REPUBLIC,2013
