,sentence,label
574,나도 모르게 자꾸 해 거짓말은 할수록 늘어요.,3
575,하게 돼 거짓말은 할수록 늘어요.,3
576,거짓말을 낳아 진실된 말을 하려고 노력해보세요.,3
577,없이 살고파 누구나 걱정은 있어요.,3
578,좀 없이 살고 싶다. 누구나 걱정은 있어요.,3
579,관리 운동을 해보세요.,3
580,빨리 회복해야지 세상의 무엇보다 건강이 제일 중요해요.,3
581,왔어 주기적으로 해주는 게 좋죠.,3
582,옴 주기적으로 해주는 게 좋죠.,3
583,최고 가장 중요한 목표네요.,3
584,최고인 것 같아 가장 중요한 목표네요.,3
585,다이어트 하는 방법 적게 먹고 많이 움직이세요.,3
586,다이어트법 적게 먹고 많이 움직이세요.,3
587,아는 사람인데 연락해도 될까? 모르는 사이라 당황할 수도 있어요.,3
588,되고싶어 이룰 수 있을 거예요.,3
589,짱인데 이룰 수 있을 거예요.,3
590,기분이 나쁘셨나봐요.,3
591,살까봐 있으면 편하대요.,3
592,눈을 깜빡거려 보세요.,3
593,해야 돼 청소를 좋아하시나봐요.,3
594,가고 있는데 깜깜해서 무서워 안전 귀가 하세요.,3
595,용기 내보세요.,3
596,동료가 있어 피해를 안 준다면 무시하세요.,3
597,같이 하자고 할까? 안 될 것도 없죠.,3
598,때문에 시간 다갔어 게임할때는 시간이 더 빨리 가요.,3
599,때문에 폰이 점점 느려지는듯 정리해보세요.,3
600,재미있어. 게임하세요!,3
601,지겨워 다른 게임해보세요.,3
602,이제 재미없어 다른 게임해보세요.,3
603,싶어 게임하세요!,3
604,시간 다갔어 게임할때는 시간이 더 빨리 가요.,3
605,지나 봄이야 마음에도 봄이 오길 바라요.,3
606,온천이지! 몸은 뜨겁고 머리는 차갑게!,3
607,가고 봄이 올거야 마음에도 봄이 오길 바라요.,3
608,좀 해줘 잘하실 거예요!,3
609,필요해. 잘하실 거예요!,3
610,챙겨 먹어야지. 건강 생각해서 챙겨드세요.,3
611,이런 운명이라니 슬프다 좋은 운명도 있을거예요.,3
612,못하겠어. 결정하기 힘드시겠네요.,3
613,빠르면 빠를 수록 좋겠지? 자신을 위한 결정을 내리길 바라요.,3
614,빠를수록 좋겠지? 자신을 위한 결정을 내리길 바라요.,3
615,못 내리겠어. 어떻해 결정은 빠르면 빠를수록 좋을 거예요.,3
616,물증이 없어 안타깝네요. 증거를 지금이라도 모아봐요.,3
617,했는데. 좋겠어요.,3
618,했어 좋겠어요.,3
619,다 돈이다. 많이 들지만 줄일 수 있을 거예요.,3
620,가기 귀찮아 경조사는 참석하는게 좋아요.,3
621,또 가야돼 경조사는 참석하는게 좋아요.,3
